Date,Day_of_Week,Month,Year,Open,High,Low,Close,Volume,Market Cap,Lagged_Close1,Lagged_Close2,Lagged_Close3,Lagged_Close5,Lagged_Close10,Lagged_Market_Cap,Lagged_Volume,Lagged_VWAP,Lagged_Open_Close_Range,Lagged_High_Low_Range,Lagged_SMA_10,Lagged_SMA_50,Lagged_SMA_diff,Bullish,Bearish,Bullish_Signal,Bearish_Signal,Lagged_RSI,Lagged_MACD,Lagged_Signal_Line,Lagged_MACD_Cross_Below,Lagged_MACD_Cross_Above,Lagged_Support,Lagged_Resistance,Lagged_Upper_Band,Lagged_Middle_Band,Lagged_Lower_Band,Lagged_Band_Width,Lagged_Bollinger_Indicator
2010-07-17,0.8333333333333333,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621697007418107,0.4666037660702602,False,False,0.0,0.0,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-18,1.0,0.5454545454545454,0.0,3.928223672617011e-07,3.8393944824469426e-07,3.971974282021268e-07,3.9362334577864807e-07,0.0,6.880563776943779e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621697007418107,0.4666037660702602,False,False,0.0,0.0,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-19,0.0,0.5454545454545454,0.0,3.379589081469383e-07,3.3031662027755817e-07,3.417229270565783e-07,3.386480181559318e-07,2.3091882310218627e-09,5.927038997823923e-08,3.9362334577864807e-07,0.0,0.0,0.0,0.0,6.98702125687934e-08,0.0,4.0012057264630464e-07,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.46216996196662,0.46660382597082134,False,True,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-20,0.16666666666666666,0.5454545454545454,0.0,2.7102548802692787e-07,2.6489677015765224e-07,2.740440356590093e-07,2.715781184562181e-07,8.482732277223168e-10,4.769020124937141e-08,3.386480181559318e-07,3.9645638863445914e-07,0.0,0.0,0.0,6.018743348752619e-08,2.3091882310218627e-09,3.4423781110352465e-07,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621701271690994,0.46660391177328164,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-21,0.3333333333333333,0.5454545454545454,0.0,3.204026012302144e-07,3.131573153280747e-07,3.239710866900029e-07,3.210559133166627e-07,2.35631452145088e-09,5.74596178955691e-08,2.715781184562181e-07,3.410853846352329e-07,3.9645638863445914e-07,0.0,0.0,4.8428073727153025e-08,8.482732277223168e-10,2.760608420213332e-07,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.46217020723129854,0.4666039987740369,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-22,0.5,0.5454545454545454,0.0,5.48634591147628e-09,5.362282796713641e-09,5.547450114554808e-09,5.4975327622716675e-09,9.802268409235662e-09,2.27776833997701e-09,3.210559133166627e-07,2.7353275975617717e-07,3.410853846352329e-07,0.0,0.0,5.834864477149462e-08,2.35631452145088e-09,3.263553274098352e-07,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621702970216535,0.46660408896415817,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-23,0.6666666666666666,0.5454545454545454,0.0,1.3825591696920207e-07,1.3512952647718294e-07,1.3979574288678201e-07,1.3853782560924488e-07,1.0933299379532085e-08,2.563933834351558e-08,5.4975327622716675e-09,3.233666633554807e-07,2.7353275975617717e-07,4.0393586987758823e-07,0.0,2.3130104342605428e-09,9.802268409235662e-09,5.5882761542780835e-09,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621701511573559,0.46660412766861553,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-24,0.8333333333333333,0.5454545454545454,0.0,4.937711320328642e-08,4.826054517042245e-08,4.9927051030993485e-08,4.9477794860444584e-08,1.9793041980187396e-09,1.0834982615058726e-08,1.3853782560924488e-07,5.537100399922686e-09,3.233666633554807e-07,3.4752024559300884e-07,0.0,2.6036035392732997e-08,1.0933299379532085e-08,1.4082455908780559e-07,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.4621701200343372,0.46660415149546924,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-25,1.0,0.5454545454545454,0.0,5.48634591147628e-09,5.362282796713641e-09,5.547450114554808e-09,5.4975327622716675e-09,6.927564693065589e-09,3.0805461422082495e-09,4.9477794860444584e-08,1.3953493007804993e-07,5.537100399922686e-09,2.7869318396582214e-07,0.0,1.100262366624846e-08,1.9793041980187396e-09,5.029448538850201e-08,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.46217003176800603,0.46660415031690394,True,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
2010-07-26,0.0,0.5454545454545454,0.0,6.583615093771526e-08,6.434739356056326e-08,6.656940137465812e-08,6.597039314725948e-08,3.770103234321409e-09,1.4160550815064798e-08,5.4975327622716675e-09,4.983390359930354e-08,1.3953493007804993e-07,3.294672458219436e-07,0.0,3.1282089776613097e-09,6.927564693065589e-09,5.5882761542780835e-09,0.5678566913517032,0.0,6.153311231670965e-08,2.296816100861353e-08,0.4705330213360133,False,False,False,False,0.5580346504188007,0.46216992965396525,0.4666041259586327,False,False,0.0,3.9362334577864807e-07,2.1859253795547671e-07,3.0941782473567376e-08,2.836841946919022e-05,1.131570033749884e-06,0.4629749414082487
